y' at t0: 0.466 0.432 0.466 0.432 -0.932 -0.865 -1.213 0.304 1.213 -0.304 0.000 0.000 

Step nr. 1, h = 0.001
Step nr. 83, h = 0.0751443729484092

Step nr. 84, h = 0.0797562596944894

Step nr. 85, h = 0.0835957575773639

Step nr. 86, h = 0.0866018489791552

Step nr. 87, h = 0.0919264928805962

Step nr. 88, h = 0.0926611256200478

Step nr. 89, h = 0.0904410330632754

Step nr. 90, h = 0.0784423123941346

Step nr. 91, h = 0.0811813187557435

Step nr. 92, h = 0.0738450707292632

Step nr. 93, h = 0.0753609109280632

Step nr. 94, h = 0.0708314384874911

Step nr. 95, h = 0.0716852537088216

Step nr. 96, h = 0.0688193045095581

Step nr. 97, h = 0.0690171161738929

Step nr. 98, h = 0.0728507443504552

Step nr. 99, h = 0.0743523658352377

Step nr. 100, h = 0.0768836101260726

Step nr. 101, h = 0.0817927108673859

Step nr. 102, h = 0.0849202755448947

Step nr. 103, h = 0.0886441725691314

Step nr. 104, h = 0.0940706727806227

Step nr. 105, h = 0.0912772251739191

Step nr. 106, h = 0.0838584134471273

Step nr. 107, h = 0.0857230771683903

Step nr. 108, h = 0.0761538632132917

Step nr. 109, h = 0.0782384122996369

Step nr. 110, h = 0.0723496849662059

Step nr. 111, h = 0.0735181255254268

Step nr. 112, h = 0.06983666375854

Step nr. 113, h = 0.0705004913081084

Step nr. 114, h = 0.0681349373632411

Step nr. 115, h = 0.070583445105994

Step nr. 116, h = 0.0736676127697836

Step nr. 117, h = 0.0749958450059801

Step nr. 118, h = 0.0792514865836252

Step nr. 119, h = 0.0832845300386651

Step nr. 120, h = 0.0862363098685702

Step nr. 121, h = 0.0911931673239776

Step nr. 122, h = 0.0932171436632921

Step nr. 123, h = 0.091806940739099

Step nr. 124, h = 0.079100782602661

Step nr. 125, h = 0.0820389303291799

Step nr. 126, h = 0.0742692217252293

Step nr. 127, h = 0.0758913239570828

Step nr. 128, h = 0.0711151822260443

Step nr. 129, h = 0.0720251536476473

Step nr. 130, h = 0.0690120032759715

Step nr. 131, h = 0.0686518117982009

Step nr. 132, h = 0.0724061231189603

Step nr. 133, h = 0.0741993520229919

Step nr. 134, h = 0.0761967982589

Step nr. 135, h = 0.0813299786212024

Step nr. 136, h = 0.0846032911018789

Step nr. 137, h = 0.0880883643863935

Step nr. 138, h = 0.0941603425961674

Step nr. 139, h = 0.0913765566492402

Step nr. 140, h = 0.0852597280245449

Step nr. 141, h = 0.0868332547884529

Step nr. 142, h = 0.07668552931278

Step nr. 143, h = 0.0789209753964907

Step nr. 144, h = 0.0727023823125541

Step nr. 145, h = 0.0739488922823111

Step nr. 146, h = 0.070071883774934

Step nr. 147, h = 0.0707791102587909

Step nr. 148, h = 0.0682995514757781

Step nr. 149, h = 0.0701752465766544

Step nr. 150, h = 0.0735849181013357

Step nr. 151, h = 0.0748424794800969

Step nr. 152, h = 0.078714689431743

Step nr. 153, h = 0.0829562339397497

Step nr. 154, h = 0.0858914912219227

Step nr. 155, h = 0.0905013845071517

Step nr. 156, h = 0.0938542443620181

Step nr. 157, h = 0.0914941207236525

Step nr. 158, h = 0.0801704446823714

Step nr. 159, h = 0.0828404717470243

Step nr. 160, h = 0.0746961279030923

Step nr. 161, h = 0.076413687788772

Step nr. 162, h = 0.0713929739361778

Step nr. 163, h = 0.0723590909989607

Step nr. 164, h = 0.0691984258639472

Step nr. 165, h = 0.0683155377255284

Step nr. 166, h = 0.0719969781743892

Step nr. 167, h = 0.0740600012853074

Step nr. 168, h = 0.0755246334475298

Step nr. 169, h = 0.0808582356692526

Step nr. 170, h = 0.0843015091409056

Step nr. 171, h = 0.0875987208044441

Step nr. 172, h = 0.093928546457827

Step nr. 173, h = 0.0915984679433254

Step nr. 174, h = 0.0866836044205608
